topics,sub_occ,obj_occ,sub_in_obj,subsumption,label
design rationales; phased array radars,0.00018261003878839322,0.0003327400311519734,0.0,0.49999999999999994,3
machine learning algorithms; associative processing,0.032808455783108356,0.0001414686466502967,2.6146456762911773e-06,0.49747267591277994,0
common-sense reasoning; common-sense computing,0.00039481300876383833,5.052451666082026e-06,2.6146456762911773e-06,0.43840625092367524,2
support vector machine; svm classification,0.07806470891382394,0.0027239932268276527,0.0058777234803025664,0.21261522441669217,0
database systems; extensible markup language,0.00892768209396694,0.0036623056791000286,0.0001490348035485971,0.4966878665190795,0
clustering algorithm; data mining,0.03363777963515525,0.08914690075397015,0.0090388301029386,0.523095899334904,1
peer-to-peer (p2p); unstructured p2p network,0.007748295519341507,0.00013858153141253556,0.000162108031930053,0.3422499486506875,0
manets; black hole attack,0.009164425543463355,0.0008322109672846537,0.0007739351201821885,0.3833941544052323,0
machine learnings; machine learning,6.351653523074547e-05,0.2760515234585331,0.00010981511840422945,0.7359237350974637,2
mutation strategy; pso algorithm,0.0009469737979856597,0.012093403952172049,0.00012027370110939415,0.5161461079007819,1
smart education; smart cities,0.0005066887242270832,0.01319339485775905,0.00010197118137535591,0.5266741917267275,1
pso algorithm; mutation operations,0.012093403952172049,0.0005449430011274185,6.275149623098826e-05,0.4848416300438828,0
storage systems; disk arrays,0.01752984194487631,0.0004070832485243232,0.00022485952816104124,0.42565679445467364,0
real time operating system; operating systems,0.002712444765876608,0.017444672045362358,0.0007007250412460355,0.5301067256967505,1
particle swarms; hybrid particle swarm optimization,0.000279328399253392,0.00099749831464648,7.843937028873533e-06,0.5027816587793156,0
firewalls; warehouses,0.004571025200185353,0.008469352549972355,1.3073228381455886e-05,0.5001816755374952,3
data warehouse; warehouse,0.010747286472565908,0.024106690456496226,0.03893468876565192,0.7771085422515963,0
queueing network; queuing network,0.001760418516224866,0.0009671836046499878,6.798078758357061e-05,0.49563317426262293,2
model-driven architecture; software development process,0.001860023991927626,0.006064385556917312,0.00021178629977958537,0.5108912342027097,1
semantic description; analytical hierarchy process,0.001528727518394533,0.008283133617136762,5.229291352582355e-06,0.5003848284072361,3
simultaneous localization and mapping; simultaneous localization and mapping (slam),0.005417671743658813,0.0035800228948238357,0.01297125720008053,0.33040798176263964,2
computer systems; communications systems,0.01922530036825155,0.006546533801623425,9.674189002277357e-05,0.4986549217507639,0
software architecture evaluation; architecture analysis,9.166590879891676e-05,0.0008040615937164825,1.8302519734038242e-05,0.5242071566577232,0
classification results; constraint satisfaction problems (csp),0.015377497535125366,0.0002035416242621616,0.0,0.49999999999999994,3
energy-aware routing; network life-time,0.0007412668372951773,0.0008784048110888322,3.3990393791785304e-05,0.500986438412047,1
parallel manipulator; sms messages,0.0027463683699203013,0.0006950729934909987,0.0,0.49999999999999994,3
client-server; client server computer systems,0.01443846330404355,7.217788094402894e-07,5.229291352582355e-06,0.0,1
application mapping; networks on chips,0.00039914368162048,0.0001984891725960796,5.229291352582355e-06,0.4981816839596699,1
gene product; query languages,0.0009448084615573389,0.0026734687101668325,0.0,0.49999999999999994,3
autonomous underwater vehicles (auv); submersibles,0.0004576077651851435,0.0003897605570977563,1.3073228381455886e-05,0.4993158673891291,0
architectural tactics; tactics for security,9.888369689331966e-05,1.4435576188805787e-06,5.229291352582355e-06,0.1738804396731794,0
parsing algorithm; nlp,0.0007932349115748781,0.025543752066091843,7.321007893615297e-05,0.5123329249141402,1
fcm; clustering,0.009846506518384427,0.2148757169068025,0.01863457973492722,0.7492511934308869,1
scripting languages; component based software engineering,0.0008675781289472279,0.0009411995675101374,2.6146456762911773e-06,0.5000324890833167,3
real-time scheduling; real time scheduling,0.002505294247567245,0.002505294247567245,0.009078049788082968,0.49999999999999994,2
data warehouse; common-sense knowledge,0.010747286472565908,0.000565874586601187,0.0,0.49999999999999994,3
wireless sensor network; localization problems,0.03061569176002876,0.00046626911089842695,6.536614190727944e-05,0.48097284580205724,0
data link layer; architecture verification and validation,0.0016377161186200168,2.8871152377611577e-06,0.0,0.49999999999999994,3
customer relationship management; conceptual reference model,0.006808539509450251,0.00014507754069749816,0.0,0.49999999999999994,0
e commerces; electronic cash,2.598403713985042e-05,0.0007022907815854016,0.0,0.49999999999999994,0
backpropagation algorithm; ann,0.0030155918658415293,0.061467405190744485,0.0017021343352655565,0.5740747256174885,0
coordination mechanism; passive optical network (pon),0.002153787967369824,0.0010133774484541664,0.0,0.49999999999999994,3
variational approximation; bayesian frameworks,0.0006676453987322677,0.00012486773403317007,2.6146456762911773e-06,0.49766616025942223,1
classification performances; multiple classifiers,0.0014385051672144969,0.0015944093900535994,4.183433082065884e-05,0.5003921658128421,0
ensemble classifier; medium access control,0.0019069396145412446,0.008870661568021156,2.6146456762911773e-06,0.5001485136384672,3
model-driven engineering; context-aware systems,0.002844530288004181,0.0009181026456080481,1.3073228381455886e-05,0.4986701980066168,3
sdr; software defined radio (sdr),0.007375135874860878,0.0027492554851580625,0.009961800026669385,0.18638610412567674,1
sensor; intelligent robots,0.4595139830208753,0.0012616693589016259,0.000664120001777959,0.4275793222412596,0
pid controllers; pi controller,0.005454482462940268,0.011752002575306793,0.0006301296079861738,0.5085438692359013,2
machine learning techniques; artificial neural network,0.02690430512188679,0.06112095136221315,0.002980696070971942,0.5085611317188641,0
de-nosing; de-noise,0.00022302965211704943,0.0009578004801272641,3.921968514436766e-05,0.5185478123433058,0
dwt coefficients; wireless communication system,0.0005095758394648444,0.004743530335641582,0.0,0.49999999999999994,3
voice over ip; voip,0.002899385477521643,0.009059045837285073,0.00712752411356975,0.7306582815536851,2
architecture tactic; tactics for energy efficiency,0.0,0.0,0.0,0.49999999999999994,0
decision support systems; clinical decision support system,0.012691758585198049,0.0013951984386480795,0.0006065977968995531,0.4466118761797449,0
word embedding; natural language processing,0.004342943096402221,0.03805578772773926,0.0031898677250752363,0.5898023121417206,1
peer-to-peer system; peer-to-peer (p2p),0.0005918586237410373,0.007748295519341507,8.889795299390003e-05,0.519124910028941,2
coding efficiency; video processing,0.004628767504940576,0.0055461483717391845,7.582472461244414e-05,0.5003739246933117,1
multicast routing protocol; multicast protocols,0.0008452029858545789,0.0008221060639524896,0.00022485952816104124,0.4989700185772086,1
ls-svm; support vector machine (svm),0.003094265756070521,0.039067721618574545,0.0006850371671882885,0.528132996549634,1
learning vector quantization; learning vector quantization (lvq),0.0021133683540411675,0.0010162645636919276,0.003684035757894269,0.24049983318480372,2
embedded system; multiprocessors,0.014411757488094258,0.0050769921456029965,0.0001281176381382677,0.49774415054778587,0
dynamic analysis; tara,0.016914164620423743,0.0007520935194367816,2.6146456762911773e-06,0.49954190342549704,3
machine learnings; ensemble methods,6.351653523074547e-05,0.0028618529794307477,0.0,0.49999999999999994,0
unified medical language system; computational biology,0.0008011744784787213,0.0046359852930349795,5.229291352582355e-06,0.5007444981886553,1
adaptive pid; ultrasonic sensor,0.0014103557936463256,0.003309355841283727,2.6146456762911773e-06,0.500146741671279,3
self-test; built in self test,0.00413867969333062,0.0024396123759081786,0.008840117031540471,0.2947484424851529,1
peer-to-peer architectures; peer-to-peer systems,0.00011764994593876717,0.0012515644555694619,2.614645676291177e-05,0.5276087206796677,1
mining frequent itemsets; cad tool,0.00038615166305055483,0.0014320091579295342,0.0,0.49999999999999994,3
transmission ranges; transmission range,0.0005868061720749554,0.0037749031733727138,0.0005072412612004884,0.6006313802271726,2
k-means method; broker pattern,0.001434174494357855,1.0826682141604342e-05,0.0,0.49999999999999994,3
peer to peer networks; unstructured p2p network,0.002203590705221204,0.00013858153141253556,5.229291352582355e-06,0.49514560695547255,0
reasoning algorithms; reasoner,0.0004929749268477177,0.0021083159023750856,0.00012550299246197653,0.5268768539504909,2
computer communication networks; information and communication technology,0.0002677799383023474,0.020661640199037726,7.843937028873533e-06,0.5039802579051017,3
human tracking; automatic tracking,0.0008112793818108854,0.0011642292196271868,1.045858270516471e-05,0.5005386742587538,1
interference channels; interference channel,0.0010205952365485692,0.0025392178516109383,0.0009203552780544944,0.5743748524860546,2
architecture knowledge; design decisions,0.00021364652759432566,0.010893807570882288,6.275149623098826e-05,0.5396129828243432,0
turing machines; turing machine,0.0021480137368943015,0.002286595268306837,0.001741354020409924,0.506777785324503,2
residue number system (rns); web mining,0.0006308346794508129,0.0026561460187402653,0.0,0.49999999999999994,3
integrality gaps; time delays,0.0001032143697499614,0.013401267154877853,0.0,0.49999999999999994,3
multiobjective optimisation; multi-objective optimizations,0.0002923204178233172,0.00020498518188104219,0.0,0.49999999999999994,2
bayesian approaches; distributed parameter networks,0.0016499863583805017,7.217788094402894e-07,0.0,0.49999999999999994,0
direct torque control; service time,0.004472863282101474,0.005863009269083471,0.0,0.49999999999999994,3
functional suitability; centralized algorithms,0.0002389087859247358,0.0004200752670942484,0.0,0.49999999999999994,3
quadrature amplitude modulation (qam); quadrature amplitude modulation,0.0022526716642631435,0.005344772083905344,0.008162923801381056,0.7892538708985712,2
localization algorithm; wireless sensor network (wsn),0.005033685417036578,0.010597878259011768,0.0006458174820439208,0.5092965077622947,1
computation overheads; wsn,0.0003406795980558166,0.02977121055298362,3.6605039468076484e-05,0.5146309118617151,1
content based image retrieval (cbir); content-based image retrievals,0.002949188215373023,1.299201856992521e-05,5.229291352582355e-06,0.447607861396351,2
peer to peer; vlsi circuits,0.028469121580753338,0.0023970274261512015,7.843937028873533e-06,0.49958645203329755,3
least squares support vector machines; support vector machines (svms),0.0010617366286866659,0.00448802063709972,6.0136850554697076e-05,0.505963924350787,1
architecture evaluation; architecting,0.00039914368162048,0.0017279384698000529,5.75222048784059e-05,0.5152642198294284,1
kernel parameter; handheld devices,0.0006308346794508129,0.00396545277906495,0.0,0.49999999999999994,3
global software development; software development projects,0.0008184971699052883,0.0023082486325900456,0.00034251858359414424,0.5372378254692542,1
priority queue; point cloud,0.0013526134888911024,0.019840255913894676,7.843937028873533e-06,0.5007455072506339,3
localization algorithms; wireless sensor network,0.0021675017647491894,0.03061569176002876,0.0007164129153037826,0.5423803348785645,1
distributed hash tables (dht); overlay network,0.00011404105189156574,0.003318738965806451,5.490755920211472e-05,0.5637610053331321,1
software architecture assessment; architecture evaluation,4.330672856641736e-06,0.00039914368162048,5.229291352582355e-06,0.6410661917989248,2
frequent items; underactuated systems,0.0005925804025504776,0.0004301801704264125,0.0,0.49999999999999994,3
concept lattices; concept lattice,0.0007289965975346923,0.0013085849815152447,0.0009700335459040268,0.5812296237615489,2
particle swarm optimisation; dynamic optimization problem (dop),0.002644597557789221,2.454047952096984e-05,0.0,0.49999999999999994,0
support vector machine (svms); support vectors,4.980273785137997e-05,0.0020967674414240412,0.0,0.49999999999999994,0
peer-to-peer systems; peer-to-peer system,0.0012515644555694619,0.0005918586237410373,0.00038696756009109427,0.452512566325868,2
optical fiber communications; continuous query,0.00037243786567118934,0.0004352326220924945,0.0,0.49999999999999994,3
multi-objective optimizations; multiobjective optimisation,0.00020498518188104219,0.0002923204178233172,0.0,0.49999999999999994,2
composite structures; multiple-input multiple-output (mimo),0.004370370691160952,0.022479801020017814,0.0,0.49999999999999994,3
magnetostrictive devices; communication channels,1.8766249045447523e-05,0.012278901106198203,0.0,0.49999999999999994,1
bpm; business process models,0.007498560051275167,0.0014861425686375559,0.0005360023636396913,0.460103984895178,2
mobile robotics; formation control,0.002199260032364562,0.0036861243798115583,1.8302519734038242e-05,0.500463140578971,0
peer to peer networks; p2p system,0.002203590705221204,0.0012775484927093122,8.366866164131767e-05,0.49620420747787214,2
classification tasks; computer system,0.012730012862098385,0.015117657163726862,1.3073228381455886e-05,0.5000223871336946,1
discernibility matrix; attributes reduction,0.0007289965975346923,0.0002663363806834668,0.00010720047272793827,0.46486803578762775,1
menage; architectural language,0.00013425085855589382,0.00024973546806634014,0.0,0.49999999999999994,1
information storage and retrieval; database management system,0.0004951402632760386,0.006105526949055409,7.843937028873533e-06,0.5020063017290259,0
preference information; residue number system,0.001765470967890948,0.001035030812737375,0.0,0.49999999999999994,3
bibliographic data; medical image processing,0.0014659327619732279,0.0026142828477927287,2.6146456762911773e-06,0.5001080666197137,3
operating systems; computer system recovery,0.017444672045362358,0.0,0.0,0.49999999999999994,0
mobile service; mobile services,0.002830094711815375,0.004055675130244987,0.0016995196895892653,0.5250392065528467,2
space time block code; space-time block coding (stbc),0.0014753158864959516,0.0006589840530189842,5.229291352582354e-05,0.4939484515093249,2
component integration; software components,0.0004511117559001809,0.010908964925880534,0.00013334692949085004,0.5390516626427198,1
frequent itemset mining; brain-machine interface,0.0008524207739489818,0.0010357525915468152,0.0,0.49999999999999994,3
modeling language; modeling languages,0.014101392600034934,0.0026424322213608998,0.002494371975181783,0.39414668951601967,2
clustering algorithm; c-means,0.03363777963515525,0.012710524834243496,0.010937062863925994,0.42610877018023946,0
ocl; polarimeter,0.0019119920662073267,0.0013634401710327067,0.0,0.49999999999999994,3
internet of things; internet,0.08790832831697061,0.5386173316414838,0.31845077014388395,0.9184357213826001,1
context-aware services; lambda calculus,0.0008466465434734595,0.002274325028546352,0.0,0.49999999999999994,3
soft error; computer aided design (cad),0.0018694071164503496,0.005720097064814294,2.6146456762911773e-06,0.5001299051497479,1
information retrieval technology; frequent itemsets,0.0002042634030716019,0.0025543752066091844,0.0,0.49999999999999994,3
vibrotactile feedback; feedback systems,0.0005442212223179783,0.003102205322974364,5.490755920211472e-05,0.5114660026101568,1
svm classification; support vector machines (svms),0.0027239932268276527,0.00448802063709972,0.0002902256700683207,0.5057783000893725,1
sbar; simple network management protocols,0.0002670581594929071,3.608894047201447e-06,0.0,0.49999999999999994,3
product line architecture; architecture types,0.0002980946482988395,0.00012414595522372977,0.0,0.49999999999999994,1
formal models; formal modeling,0.0034428849210301807,0.001468819877210989,0.00028499637871573833,0.4846534745659173,0
architecture types; transmitters,0.00012414595522372977,0.017145855618254078,0.0,0.49999999999999994,3
peer-to-peer; content delivery network,0.028469121580753338,0.00072322236705917,0.00028499637871573833,0.44703942194233653,0
transponders; transponder,0.002384035407581276,0.0035951802498220818,0.002476069455447745,0.5482738124429418,2
multipath channel; multipath channels,0.0021321346030866153,0.0015020217024452422,0.00047848015876128546,0.48701504203266943,2
finite-state machines; hierarchical system,0.0034046306441298455,0.0016167845331462483,2.6146456762911773e-06,0.49988285071599803,3
non-parametric bayesian; bayesian framework,0.0004366761797113751,0.007686222541729642,8.10540159650265e-05,0.524124570548834,1
directions of arrival; radio direction finding systems,0.0010011072086936815,4.330672856641736e-06,0.0,0.49999999999999994,0
neuro-fuzzy system; neuro-fuzzy network,0.0010140992272636067,0.0004359544009019348,7.843937028873531e-05,0.48587376259971776,0
ground-penetrating radar (gpr); ground penetrating radar (gpr),0.004874894078959715,0.004874894078959715,0.017661931543346904,0.49999999999999994,2
php; scripting languages,0.024268368909810854,0.0008675781289472279,0.00035297716629930894,0.4458923595492032,1
natural language processing; semantic similarity,0.03805578772773926,0.0064866261604398815,0.0019139206350451419,0.46621720814838885,0
network-induced delays; link prediction,0.0004944184844665983,0.004505343328526287,0.0,0.49999999999999994,3
hardware-in-the-loop simulation; computer peripheral equipment,0.0020202588876233702,1.515735499824608e-05,0.0,0.49999999999999994,3
architectural knowledge; architectural guideline,0.0005449430011274185,1.0826682141604342e-05,0.0,0.49999999999999994,0
arrival process; queuing network,0.0027369852453975776,0.0009671836046499878,5.229291352582354e-05,0.495178831991768,1
forecasting models; machine learning algorithms,0.0062246204526130566,0.032808455783108356,0.0003085281898023589,0.5055431754238134,1
submersibles; autonomous underwater vehicles (auv),0.0003897605570977563,0.0004576077651851435,1.3073228381455886e-05,0.5006841326108709,1
k-anonymity; database,0.0016240023212406513,0.44218623914264227,0.0005987538598706796,0.5506844512491716,1
queuing model; queueing systems,0.002031807348574415,0.0016196716483840095,1.3073228381455886e-05,0.4997741757680276,2
agent-based simulation; multiagent system,0.0035446557331612616,0.002163892870701988,3.137574811549413e-05,0.49922075357720647,1
space-time block codes; orthogonal space-time block codes,0.0017986727931252012,0.0006582622742095439,0.002387171502453845,0.18308103162784706,0
super-resolution; super resolutions,0.01767636304319269,2.8149373568171288e-05,8.366866164131767e-05,0.10061337253211367,2
ahp; lms algorithms,0.034773137702404824,0.000521124300415889,0.0,0.49999999999999994,3
architecting; reverse engineering,0.0017279384698000529,0.010410937547366734,2.3531811086620595e-05,0.5015671126715636,0
neural network; neural networks,0.369002920317063,0.23006338661504505,0.22750032029409534,0.4486035604499157,2
formal logic; temporal logics,0.0016550388100465836,0.0012934276265169986,0.0,0.49999999999999994,0
distributed hash tables (dht); algebraic attacks,0.00011404105189156574,0.0003673854140051073,0.0,0.49999999999999994,3
bayesian network structure; sensor network,0.0005319509825574933,0.05054183935224683,2.6146456762911773e-06,0.5006704334946273,3
heterogeneous network (hetnet); heterogeneous network,0.0005579350196973438,0.005769899802665674,0.002023735753449371,0.9516398994184643,2
haptic interactions; haptic devices,0.00022302965211704943,0.0013100285391341253,7.321007893615297e-05,0.5374557838634848,1
haptic device; haptic feedbacks,0.0023797047347246343,5.6298747136342576e-05,2.3531811086620595e-05,0.4443968790722797,0
product information model; intermodulation,0.00012053706117652834,0.0033346180996141374,0.0,0.49999999999999994,1
quality properties; quality characteristic,0.0006113466515959251,0.0013064196450869238,2.6146456762911773e-06,0.5003135634323126,2
wsn; cluster-based routing,0.02977121055298362,0.0008950057237059589,0.0009386577977885327,0.3596962810680009,0
back-propagation neural network; backpropagation,0.006762345665646072,0.01672578035115983,0.00025884992195282654,0.5031471176367659,0
xml database; xml databases,0.0009245986548930108,0.0004864789175627551,0.0003712796860333472,0.45019205055336914,2
particle swarm optimization algorithms; local optimal solution,0.0004034743544771218,0.0016904059717091579,7.843937028873533e-06,0.5020385703690998,0
pso; exploration and exploitation,0.04427896462273343,0.00573597619862198,0.0019635989028946744,0.45887211734035616,0
online system; on-line algorithm,0.002872679661572352,0.0007708597684822291,0.0,0.49999999999999994,0
ber performance; orthogonal frequency-division multiplexing (ofdm),0.011569392536518399,0.0146651018502078,0.004471044106457913,0.5112597754355208,1
omnidirectional mobile robot; bayesian network models,0.00032263512781980936,0.00030314709996492157,0.0,0.49999999999999994,3
semantic web service; semantic web services,0.0009072759634664438,0.0016824664048053146,0.0008811355929101267,0.5616933594756413,2
reference architecture; p2p streaming,0.0026070650596983257,0.0007102303484892448,0.0,0.49999999999999994,3
h.264/avc; computer programming,0.005755464226476869,0.00521268656177777,0.0,0.49999999999999994,3
xml; extensible markup language,0.041435877892348136,0.0036623056791000286,0.012291449324244825,0.07774813371614558,2
rayleigh fading channels; rayleigh-fading channel,0.004424504101868974,0.0036305474114846563,0.0006536614190727943,0.4955417903716316,2
deontic; multiagent system,0.00187012889525979,0.002163892870701988,2.3531811086620595e-05,0.5002356345019496,1
overlay network; peer-to-peer networks,0.003318738965806451,0.002203590705221204,0.000295454961420903,0.493784330557552,1
html5; hypertext markup language,0.0029657891279901497,0.0009310946641779734,0.00018041055166409124,0.48166885774972407,1
alpsm; web searching,0.0,0.0007838517870521544,0.0,0.49999999999999994,3
sensor; optical sensor,0.4595139830208753,0.0034544333819812255,0.012516308852405867,0.0037099531419569343,0
reactive system; reactive systems,0.0006878552053965958,0.002266385461642509,0.0005647634660788943,0.5788314741922084,2
discrete wavelet transform (dwt); mp3 compression,0.00725748592892211,0.0002822155144911532,8.366866164131767e-05,0.46077084143059377,0
histogram of oriented gradients; microstrip patch antenna,0.0018109430328856861,0.0037640764912311095,0.0,0.49999999999999994,3
online algorithm; online systems,0.0036767412552888346,0.0011194789334418888,2.6146456762911773e-06,0.49977594807884324,1
back-propagation neural networks; cellular neural networks,0.001112261145347486,0.0018376488488349768,5.229291352582355e-06,0.5002559152485611,0
hybrid recommender systems; design pattern,7.50649961817901e-05,0.003928642059783495,0.0,0.49999999999999994,3
classifiers; blocking artifacts,0.07914593357036549,0.0009606875953650252,2.6146456762911773e-06,0.4996291473042211,3
architecture types; cyber physical,0.00012414595522372977,0.018208314025750183,0.0,0.49999999999999994,0
multi-objective differential evolutions; multi-objective optimisation,0.0,0.0017322691426566947,0.0,0.49999999999999994,1
backoff algorithms; software developer,8.516989951395415e-05,0.00137137973793655,0.0,0.49999999999999994,3
ip multicast; multicast services,0.0015294492972039732,0.0008394287553790566,0.00030329889844977657,0.4775280652400616,0
back-propagation neural networks; feedforward neural network,0.001112261145347486,0.003777068509801035,7.843937028873533e-06,0.5006862435572833,0
network on chip; mpsoc,0.005038016089893221,0.002024589560480012,0.0011164537037763327,0.45449150479610684,0
peer to peer networks; p2p,0.002203590705221204,0.021786893362955136,0.0014354404762838564,0.5807965798873088,2
binary classification; binary classifiers,0.009113179247993094,0.00144644473411834,0.0006353588993387561,0.44901863745861015,2
multiple input multiple outputs; component based software development,2.237514309264897e-05,0.0008452029858545789,0.0,0.49999999999999994,3
cognitive modeling; cognitive models,0.0012161972939068878,0.00261789174183993,0.0006876518128645796,0.5417535638636981,2
e-commerce; e-business models,0.04393539790943986,0.00026272748663626534,0.00024577669357137065,0.37199219110349835,0
image segmentation; passive optical network (pon),0.03361684804968148,0.0010133774484541664,0.0,0.49999999999999994,3
nlp; text processing,0.025543752066091843,0.0030415759029813797,0.0008863648842627091,0.4645722882080159,0
reactive systems; reactive system,0.002266385461642509,0.0006878552053965958,0.0005647634660788943,0.42116852580779146,2
multicast services; semantic web,0.0008394287553790566,0.021830921870330994,0.0,0.49999999999999994,3
extensible markup language (xml); xml data,0.002153787967369824,0.0038333672569373775,0.0007765497658584797,0.5217953504197307,0
biorthogonal; discrete wavelet transform (dwt),0.0033324527631858167,0.00725748592892211,0.0003738943317096384,0.5083735471973797,1
image segmentation; lte uplink,0.03361684804968148,0.00034501027091245835,0.0,0.49999999999999994,3
artificial neural network; hopfield networks,0.06112095136221315,0.0004287366128075319,3.3990393791785304e-05,0.489151303406124,0
sbar; software architecture evaluation,0.0002670581594929071,9.166590879891676e-05,0.0,0.49999999999999994,1
e-business models; computer aided diagnosis,0.00026272748663626534,0.007145610213458865,0.0,0.49999999999999994,3
web-mining; data mining,0.0026561460187402653,0.08914690075397015,0.002996383945029689,0.651040059010074,1
pso algorithms; particle swarm optimizations,0.0012551733496166634,6.496009284962605e-05,2.6146456762911773e-06,0.4947923301905118,2
machine learning; supervised machine learning,0.2760515234585331,0.007963385604554713,0.028850000392196852,0.014376449978650618,0
compiler; bist,0.025591389467514904,0.0035691962126822314,0.00012550299246197653,0.49582405274127456,3
haptic interfaces; haptic display,0.0008163318334769673,0.0005225678580347696,8.10540159650265e-05,0.49231250060267245,0
back propagation neural networks; graph neural networks,0.001112261145347486,0.004473585060910914,0.0,0.49999999999999994,0
ensemble methods; machine learning techniques,0.0028618529794307477,0.02690430512188679,0.0004261872452354619,0.5183651148764432,1
clinical decision support; decision support system (dss),0.005845686577656904,0.0037987218740842435,9.674189002277357e-05,0.49876938989706154,1
underwater robotics; autonomous underwater vehicles (auv),0.00030098176353660067,0.0004576077651851435,2.3531811086620595e-05,0.5036793039044369,1
3d modelling; mergers and acquisitions,0.0022079213780778458,0.0036045633743448055,0.0,0.49999999999999994,3
directions of arrival; signal subspace,0.0010011072086936815,0.001997161965721281,0.00014642015787230594,0.5100583093059436,0
